beacon1,beacon2,beacon3,beacon4
56,70,46,85
51,71,76,44
56,75,46,70
50,70,67,50
51,70,69,55
51,70,74,50
53,75,49,70
58,70,75,39
49,70,71,37
50,69,66,44
56,70,70,42
51,70,69,41
52,69,67,54
67,70,69,45
49,71,67,44
49,72,72,51
55,72,69,53
51,70,69,67
62,71,74,47
64,72,78,46
51,70,76,40
51,71,69,49
47,70,68,48
46,70,69,45
50,71,69,44
47,73,53,72
50,70,75,47
61,72,73,51
54,71,72,47
47,70,75,51
56,71,76,39
58,70,70,51
54,71,68,40
52,72,71,46
55,72,73,47
53,71,72,40
54,71,67,54
52,71,69,48
56,71,75,51
61,70,54,84
59,70,45,70
52,72,67,43
54,74,80,53
57,71,77,51
55,71,75,54
50,74,69,44
52,72,72,43
53,69,76,49
57,74,72,47
49,73,74,55
56,70,77,58
58,72,72,49
60,72,71,56
49,73,79,48
49,73,72,45
69,73,73,44
54,72,75,47
58,72,73,46
59,71,72,42
53,72,73,48
48,72,75,46
53,73,74,51
52,72,78,46
58,72,69,51
49,71,73,63
57,71,50,80
68,72,67,47
54,74,71,45
52,70,79,54
61,71,70,45
58,71,67,53
65,71,72,66
53,71,73,45
65,70,70,53
57,70,60,85
55,69,68,58
60,72,67,52
55,
