beacon1,beacon2,beacon3,beacon4
60,72,69,51
53,73,70,50
65,73,68,47
51,73,78,52
56,72,79,54
56,70,74,54
59,72,68,47
60,71,71,67
58,70,73,54
68,72,69,63
56,73,68,50
60,73,64,49
53,72,71,59
58,72,67,48
57,72,69,53
61,72,68,51
73,71,67,53
68,72,68,61
61,72,70,58
66,73,69,63
57,73,69,57
57,73,72,51
54,72,77,57
60,72,69,59
73,72,70,54
55,71,72,52
55,72,71,70
62,72,70,60
60,72,72,55
60,72,70,49
55,72,70,56
61,73,69,62
61,73,76,53
61,73,73,66
65,72,74,60
67,72,69,57
58,72,68,53
56,72,71,58
57,72,73,56
61,71,71,55
72,72,71,55
65,72,72,63
61,72,69,58
59,72,72,54
59,72,71,66
68,72,75,54
67,72,68,53
63,
