beacon1,beacon2,beacon3,beacon4
47,72,72,37
49,72,37,70
51,73,72,36
40,73,71,40
42,72,71,46
43,72,69,43
45,71,71,39
41,72,47,70
55,71,69,41
42,72,69,45
52,72,68,58
58,72,68,52
49,72,68,43
62,72,70,47
40,71,70,50
47,71,69,48
53,72,69,40
45,72,69,42
50,72,69,45
38,72,69,45
45,72,69,39
42,71,69,39
41,71,67,49
43,71,68,46
47,72,67,43
60,72,71,39
44,72,70,42
42,72,70,43
46,72,67,42
47,72,69,47
40,73,69,42
47,72,70,44
51,72,68,43
43,72,68,39
46,72,71,43
43,72,72,43
51,72,68,51
50,72,69,44
44,72,68,45
49,45,72,70
37,72,70,54
46,72,71,43
43,72,72,45
38,72,69,48
52,71,70,58
39,71,70,41
41,72,71,49
44,71,71,37
56,72,71,44
53,72,70,51
45,72,72,45
43,72,70,43
44,72,70,43
42,72,70,49
44,71,69,43
61,72,69,44
44,72,71,54
37,72,72,50
41,71,71,45
48,71,71,43
41,71,72,41
44,72,70,61
41,72,68,37
61,72,70,45
49,71,70,63
49,73,70,39
48,71,68,42
47,71,70,48
45,70,73,47
45,71,70,42
37,71,73,37
46,72,71,42
47,69,45,73
51,73,69,40
39,73,68,52
41,72,69,43
41,72,69,45
47,73,67,50
48,75,68,41
48,74,68,45
48,68,39,74
48,73,66,40
43,72,68,49
43,73,70,40
51,73,68,43
