beacon1,beacon2,beacon3,beacon4
85,70,67,69
81,71,63,66
78,72,69,79
74,70,67,80
73,70,65,67
71,73,66,60
81,72,66,64
78,71,67,72
87,71,67,73
72,65,76,73
80,71,65,64
73,64,63,78
84,74,64,79
78,74,63,64
78,72,65,80
78,72,65,67
87,71,72,64
72,84,66,63
81,71,66,72
83,70,65,69
89,70,65,64
79,72,65,63
76,72,63,63
74,71,65,70
87,71,66,84
79,72,65,76
72,85,68,77
82,72,65,67
74,72,64,70
78,72,64,59
75,72,65,63
76,72,63,67
84,72,64,77
84,71,69,69
82,72,67,72
71,80,66,66
81,72,69,72
79,72,63,64
79,72,70,73
83,72,66,75
76,72,64,68
72,67,69,88
72,64,82,71
79,71,66,67
87,72,65,67
71,79,64,66
77,72,64,62
69,73,64,59
75,73,71,67
79,73,64,67
89,73,63,67
