beacon1,beacon2,beacon3,beacon4
81,72,65,78
81,74,66,75
75,72,68,63
82,73,65,75
78,73,64,70
79,72,65,69
71,72,68,60
80,72,72,81
72,72,69,73
72,72,67,63
82,72,72,66
72,78,64,71
73,66,68,81
81,72,67,63
76,73,66,63
76,72,72,82
84,72,66,67
71,66,77,81
83,72,70,70
72,66,75,72
77,72,66,65
77,72,65,68
82,73,68,63
77,73,71,67
82,72,65,66
82,72,64,79
85,72,65,76
79,71,63,73
72,86,65,62
80,74,69,66
75,73,64,77
71,72,67,62
88,74,67,71
78,73,64,71
79,74,67,70
86,73,66,73
84,73,66,68
78,72,68,69
71,72,65,61
72,74,68,76
83,72,67,68
86,72,66,69
79,73,65,66
