beacon1,beacon2,beacon3,beacon4
50,69,67,38
62,70,66,42
58,71,67,46
46,71,69,43
45,71,74,41
45,71,68,38
46,71,66,38
47,71,66,39
57,71,69,45
49,71,67,46
54,71,69,49
54,71,67,43
52,71,66,43
46,71,63,46
47,71,63,63
43,71,68,46
46,71,70,46
50,71,69,52
47,71,70,36
45,70,69,40
56,71,67,52
50,70,67,37
51,71,65,41
46,71,66,48
53,71,66,39
49,71,67,63
43,72,66,38
49,71,67,37
48,71,67,42
47,70,41,71
51,71,68,44
43,71,70,52
55,71,67,45
49,71,67,42
45,71,69,47
42,71,69,38
52,71,68,46
47,70,73,48
46,72,71,37
51,71,71,56
43,71,70,37
44,70,67,46
46,71,69,46
48,71,71,49
58,72,71,40
46,71,69,45
63,70,70,41
58,71,70,40
46,71,68,42
49,72,67,50
43,72,66,39
45,72,66,40
45,72,66,43
46,72,68,36
43,71,68,35
44,72,71,39
49,71,69,37
52,71,74,41
53,72,76,41
50,71,76,48
50,72,72,43
48,71,68,43
53,71,74,42
46,72,73,39
62,72,69,49
57,71,69,36
54,72,68,41
49,71,67,38
46,71,66,39
43,72,67,34
57,71,66,37
56,71,68,49
56,72,66,48
43,72,65,41
48,72,64,42
53,72,68,40
46,72,66,43
52,71,66,44
51,71,66,47
49,71,66,50
49,70,66,45
48,70,65,36
53,71,65,39
47,71,63,45
51,72,68,42
51,72,63,37
50,71,62,34
51,71,62,35
51,71,63,35
51,71,67,33
49,71,67,37
46,72,70,39
46,71,68,40
48,71,66,40
44,72,72,43
62,72,69,37
49,71,65,50
55,72,67,44
56,73,65,37
48,72,63,65
57,70,63,37
45,72,68,58
52,71,66,54
53,72,70,41
50,72,64,35
58,73,67,33
52,71,73,33
49,72,76,33
47,72,63,34
61,71,63,39
54,72,64,45
51,72,71,55
47,72,66,45
47,73,66,43
