beacon1,beacon2,beacon3,beacon4
69,72,71,69
69,72,70,58
67,72,70,63
64,72,70,55
64,73,69,63
66,73,66,58
70,72,65,69
65,72,67,62
61,72,69,54
63,71,75,71
66,70,80,60
71,71,70,67
64,71,71,64
59,72,72,55
76,72,68,59
63,72,68,65
67,72,67,63
60,73,66,55
72,74,67,56
60,72,69,55
63,72,57,68
68,71,65,67
73,72,65,59
70,71,68,53
65,73,69,64
78,73,65,62
61,74,64,73
69,73,65,61
63,73,64,55
62,73,65,59
60,73,68,63
73,73,67,55
73,66,68,63
77,72,69,66
66,72,70,57
68,72,66,60
64,72,66,71
71,73,67,61
82,73,69,55
67,72,67,57
69,72,71,61
65,72,68,65
79,73,68,55
66,73,69,55
76,72,69,62
66,73,64,58
70,72,57,68
66,72,70,57
67,71,74,67
63,72,72,62
64,73,69,64
61,73,76,62
65,73,70,63
72,72,69,63
67,72,71,65
81,72,66,68
77,72,69,77
72,72,71,64
68,73,67,61
70,73,72,67
62,73,70,70
67,74,68,57
71,73,69,64
