beacon1,beacon2,beacon3,beacon4
79,70,51,73
75,69,49,80
82,71,46,83
74,69,51,79
65,69,48,70
64,69,50,73
60,69,36,67
59,69,38,69
69,70,41,74
68,69,41,72
70,69,42,68
71,69,45,78
64,69,43,67
64,70,42,68
64,72,42,73
63,70,48,69
66,69,47,76
74,68,46,73
76,69,42,75
70,69,52,71
68,68,54,77
67,69,52,77
60,71,48,67
66,69,43,70
57,69,49,67
60,69,43,79
65,69,49,78
59,68,47,73
72,69,51,73
63,69,50,65
64,69,46,72
70,69,52,71
79,69,57,74
68,69,54,64
67,69,52,65
76,69,55,70
71,70,49,71
67,69,58,69
61,69,54,68
60,69,48,75
69,68,50,64
68,69,61,73
59,69,49,72
64,68,57,75
63,54,69,75
