beacon1,beacon2,beacon3,beacon4
63,70,55,72
61,71,57,74
63,69,66,80
64,69,70,86
68,69,54,73
68,69,53,75
67,69,62,76
70,69,57,70
66,68,59,71
72,69,54,72
66,69,63,77
63,69,59,65
67,73,60,78
61,69,58,72
63,72,55,67
66,70,57,72
66,73,61,79
62,70,65,64
69,72,59,76
63,70,70,69
67,69,61,76
59,69,58,73
58,70,61,64
57,72,56,67
66,72,73,72
67,73,63,70
65,72,58,70
69,73,72,70
65,71,60,72
82,72,59,80
84,71,63,75
71,71,61,74
61,70,55,69
63,71,69,82
76,72,64,70
59,72,65,78
69,71,65,69
61,72,67,67
63,72,58,72
82,72,62,72
72,72,66,73
68,72,76,72
60,72,64,87
69,72,65,74
61,71,61,70
58,72,61,76
57,71,62,65
66,71,71,77
67,71,66,69
63,70,65,79
63,72,78,75
60,71,62,62
63,69,70,78
62,70,63,74
