beacon1,beacon2,beacon3,beacon4
83,71,50,84
79,71,49,83
72,51,89,81
73,72,54,81
80,73,57,79
80,73,51,81
86,72,48,81
81,71,64,89
86,70,53,85
78,72,55,78
76,72,54,78
82,71,46,83
77,69,51,77
76,70,44,77
76,71,49,84
82,70,49,79
76,70,51,81
80,70,49,81
76,71,50,80
72,70,54,77
80,69,46,87
69,71,57,77
75,73,44,84
73,71,47,84
72,70,53,82
73,70,53,85
75,72,53,75
81,73,48,83
81,71,45,84
76,72,50,79
81,71,51,77
71,71,42,81
71,72,49,77
73,73,48,81
75,71,46,81
71,71,55,81
67,71,47,80
75,73,57,76
64,72,51,81
69,75,60,78
75,73,48,84
70,73,51,79
67,72,52,84
63,71,60,75
75,72,49,77
63,71,62,72
61,71,48,72
59,70,61,77
61,71,50,79
69,71,48,71
58,71,49,77
57,70,57,88
63,70,46,79
63,69,47,70
60,68,55,72
61,72,48,75
59,71,
