beacon1,beacon2,beacon3,beacon4
82,71,42,74
77,72,42,75
80,72,45,77
84,72,63,79
76,73,50,75
79,73,50,82
77,72,43,83
88,73,53,80
72,73,49,75
74,71,46,80
83,72,45,69
82,71,58,70
80,70,43,74
83,71,42,82
77,71,52,78
78,72,47,75
76,71,51,79
76,70,47,75
88,70,50,77
76,70,44,80
77,70,47,78
84,71,50,80
82,69,63,82
81,71,48,73
76,69,45,84
86,70,45,82
81,69,46,79
86,72,57,82
81,71,45,76
76,71,51,84
81,71,74,81
80,72,50,78
74,69,53,82
74,71,45,81
78,71,47,80
77,71,43,83
71,81,51,84
70,51,79,85
83,71,48,79
79,69,51,81
77,69,51,78
79,72,67,71
81,71,51,77
77,73,63,83
73,71,57,79
84,72,49,78
78,73,55,84
76,72,52,81
72,72,49,79
74,73,53,78
75,73,54,84
