beacon1,beacon2,beacon3,beacon4
80,72,71,60
76,72,70,61
75,72,68,69
63,72,76,57
74,71,66,60
72,72,78,71
81,73,75,64
76,72,72,71
72,71,64,60
76,72,66,61
73,71,67,60
69,72,67,67
75,72,67,60
75,72,66,61
78,72,67,60
81,71,74,69
72,73,80,65
68,73,64,61
71,73,64,68
80,72,67,65
72,74,66,55
72,72,66,66
74,73,64,64
70,71,64,53
77,73,71,61
81,72,73,69
82,73,63,64
76,71,66,68
69,72,68,68
70,71,65,57
61,73,63,75
64,72,66,51
78,72,75,71
76,72,79,69
81,72,63,66
74,72,66,66
73,72,71,61
69,72,67,55
73,72,65,55
76,72,66,61
81,72,68,56
79,73,63,69
76,73,63,56
72,72,66,70
71,71,73,66
77,71,74,76
74,72,68,62
82,73,76,71
78,72,69,65
68,70,73,61
