beacon1,beacon2,beacon3,beacon4
64,72,49,75
60,73,51,79
62,73,49,73
64,70,61,73
70,71,54,77
69,71,69,77
63,71,51,86
61,71,63,80
66,73,60,69
62,74,62,74
74,72,55,81
69,73,59,76
67,75,55,77
67,74,56,70
67,75,63,73
68,74,56,76
67,75,57,78
64,73,62,73
60,73,53,84
64,72,66,83
62,64,79,73
66,74,66,73
63,72,57,69
72,71,59,72
66,73,59,71
69,72,57,69
67,74,58,72
76,71,59,69
61,71,72,76
72,71,57,77
64,72,61,76
62,72,72,73
66,72,68,73
60,73,62,75
62,73,63,77
72,72,59,70
62,71,58,75
66,71,55,77
60,73,64,67
60,75,58,70
