beacon1,beacon2,beacon3,beacon4
45,71,49,74
44,52,71,83
42,71,79,58
39,71,80,45
41,71,76,51
49,70,83,48
48,72,71,41
45,61,71,80
45,71,72,53
49,72,75,48
52,83,46,72
54,72,71,44
42,71,72,49
45,80,45,70
45,72,73,48
43,73,72,49
44,74,79,47
51,72,76,51
55,72,79,45
52,72,74,46
49,71,71,46
38,72,74,63
43,72,77,44
47,84,45,71
40,72,79,52
45,73,82,43
40,72,70,51
39,71,46,80
45,72,78,45
42,72,73,37
38,72,70,37
46,72,71,37
57,73,79,39
45,71,75,41
44,72,81,48
39,71,72,54
44,71,75,38
47,72,82,42
46,72,74,50
49,72,70,47
36,72,75,41
37,72,81,38
53,71,77,36
46,72,73,43
39,72,69,51
42,72,82,38
39,71,83,37
60,72,69,39
42,73,80,37
37,73,70,36
37,72,77,36
39,71,69,36
36,71,73,47
39,71,73,38
35,72,74,46
37,72,72,44
37,72,72,46
47,72,69,58
40,72,37,85
35,73,77,38
53,72,75,47
46,72,66,36
40,72,69,50
41,72,69,52
36,71,71,42
44,71,70,39
38,71,67,52
