beacon1,beacon2,beacon3,beacon4
62,71,69,69
69,72,72,70
71,71,73,67
65,71,69,59
69,70,74,72
69,71,69,59
75,71,68,57
69,71,67,57
62,72,69,65
64,72,67,60
76,72,69,54
71,72,74,57
69,72,69,69
82,71,75,58
75,71,75,58
71,72,70,69
76,71,71,59
68,71,69,60
75,72,68,59
74,72,68,60
61,73,70,52
68,72,71,66
70,72,71,66
72,72,68,59
70,72,77,65
75,72,61,75
72,73,71,78
69,71,72,54
76,72,71,56
66,72,70,52
73,72,71,66
69,73,70,75
79,72,69,62
73,72,70,73
72,72,71,69
82,72,73,62
79,72,75,70
72,73,79,63
61,72,69,57
72,73,70,57
71,72,70,67
85,73,83,79
77,72,59,68
74,72,68,69
71,72,70,60
