beacon1,beacon2,beacon3,beacon4
57,69,82,73
64,71,79,69
71,74,71,68
62,72,68,76
57,72,65,63
62,71,77,70
64,76,77,70
59,73,71,71
61,72,69,63
70,71,67,66
61,73,66,74
59,71,72,63
63,71,68,61
61,73,72,59
56,71,73,68
59,70,69,66
63,82,69,69
61,71,76,69
66,69,75,67
61,69,82,78
68,69,69,70
56,72,60,70
63,70,72,79
59,69,74,77
64,87,70,65
61,70,71,63
69,79,67,72
65,69,77,70
54,69,81,64
60,69,66,69
55,69,69,79
63,70,74,60
61,69,78,65
56,70,81,63
59,71,73,69
66,70,78,66
60,70,75,79
58,71,81,62
70,83,65,71
62,71,63,73
68,70,74,68
57,70,73,58
56,70,63,79
