beacon1,beacon2,beacon3,beacon4
67,72,57,72
73,72,57,75
63,71,71,67
60,71,63,68
51,72,75,62
57,71,68,74
60,71,63,71
71,71,69,72
65,71,69,69
63,70,58,81
73,72,69,71
66,71,61,72
60,71,64,68
67,71,74,74
67,71,59,68
57,71,63,69
55,71,62,73
54,71,67,72
65,72,65,75
66,71,59,73
59,72,61,72
63,73,63,73
62,72,63,74
61,72,60,64
57,72,64,66
61,72,64,85
56,72,67,66
55,73,69,71
57,74,61,69
55,73,65,69
65,72,66,68
60,73,68,66
69,72,66,75
63,72,73,72
64,71,67,68
65,70,67,75
60,70,58,73
66,72,61,73
55,70,74,63
59,71,68,70
63,71,74,70
57,71,67,77
63,69,73,66
67,71,65,76
69,71,63,68
70,71,64,69
66,70,67,68
60,72,66,83
65,72,66,67
64,70,63,67
63,71,71,66
68,71,61,70
63,72,69,66
76,71,60,66
76,73,63,63
65,73,64,68
74,75,58,66
63,75,64,75
63,75,63,83
