beacon1,beacon2,beacon3,beacon4
73,73,68,59
62,73,67,62
59,72,70,60
59,72,64,63
57,72,71,70
71,71,59,77
57,72,62,65
55,72,66,66
56,72,66,69
59,72,64,64
61,71,65,68
73,74,71,72
69,72,67,73
67,73,73,66
61,73,66,61
60,69,62,65
72,73,71,63
55,72,76,60
60,71,77,67
62,71,61,73
69,71,69,63
64,71,63,59
66,71,72,67
69,70,73,73
63,71,69,73
61,70,70,67
61,71,68,69
53,67,64,70
61,71,66,78
63,72,69,69
74,72,67,71
57,70,70,67
61,73,63,65
57,72,63,65
54,73,61,71
71,73,66,68
57,72,72,61
63,74,66,75
57,72,68,78
58,71,65,68
76,69,66,68
59,71,63,61
56,70,74,69
63,72,68,78
63,73,67,64
59,71,70,64
61,71,70,67
68,71,69,64
58,72,69,69
63,72,76,63
64,70,63,74
53,72,71,61
62,72,73,61
63,71,68,61
60,71,74,77
64,71,84,63
56,71,68,65
60,71,76,61
62,70,69,60
